,Area_Name,Year,Rape_Cases,Murder_Cases,Auto_Theft,Theft_Cases,Total_Cases
68,Chhattisgarh,2009,976,1083,2188,10776,15023
69,Chhattisgarh,2010,1012,1065,2139,10569,14785
70,Dadra & Nagar Haveli,2001,6,3,15,106,130
71,Dadra & Nagar Haveli,2002,4,11,37,132,184
72,Dadra & Nagar Haveli,2003,1,11,15,132,159
73,Dadra & Nagar Haveli,2004,7,11,24,112,154
74,Dadra & Nagar Haveli,2005,5,7,22,126,160
75,Dadra & Nagar Haveli,2006,6,9,15,152,182
76,Dadra & Nagar Haveli,2007,7,10,19,146,182
77,Dadra & Nagar Haveli,2008,6,9,19,138,172
78,Dadra & Nagar Haveli,2009,4,10,23,154,191
79,Dadra & Nagar Haveli,2010,3,6,34,123,166
80,Delhi,2001,381,574,7981,25170,34106
81,Delhi,2002,403,541,7604,22681,31229
82,Delhi,2003,490,502,7688,20953,29633
83,Delhi,2004,551,510,8924,24902,34887
84,Delhi,2005,658,533,8883,24493,34567
85,Delhi,2006,623,488,9402,24041,34554
86,Delhi,2007,598,511,8874,23713,33696
87,Delhi,2008,466,589,11027,24583,36665
88,Delhi,2009,469,571,13251,26693,40984
89,Delhi,2010,507,577,15031,28118,44233
90,Goa,2001,12,37,178,1004,1231
91,Goa,2002,12,31,151,951,1145
92,Goa,2003,31,34,134,847,1046
93,Goa,2004,37,42,125,846,1050
94,Goa,2005,20,49,195,854,1118
95,Goa,2006,21,40,228,801,1090
96,Goa,2007,20,34,220,845,1119
97,Goa,2008,30,53,253,1021,1357
98,Goa,2009,47,57,346,1242,1692
99,Goa,2010,36,35,372,1483,1926
100,Gujarat,2001,286,1280,5537,24410,31513
101,Gujarat,2002,267,2327,6256,24958,33808
102,Gujarat,2003,236,1164,7244,29407,38051
103,Gujarat,2004,339,1169,6936,28241,36685
104,Gujarat,2005,324,1103,7098,26642,35167
105,Gujarat,2006,354,1214,7191,27217,35976
106,Gujarat,2007,316,1214,8019,26069,35618
107,Gujarat,2008,374,1145,9943,28840,40302
108,Gujarat,2009,433,1059,11145,27407,40044
109,Gujarat,2010,408,1082,9829,23839,35158
110,Haryana,2001,398,818,3120,10536,14872
111,Haryana,2002,361,811,3054,10266,14492
112,Haryana,2003,353,748,3293,10024,14418
113,Haryana,2004,386,742,3735,10821,15684
114,Haryana,2005,461,812,5276,13584,20133
115,Haryana,2006,608,899,6588,16375,24470
116,Haryana,2007,488,942,6736,17536,25702
117,Haryana,2008,631,970,7893,19382,28876
118,Haryana,2009,603,1007,8370,19595,29575
119,Haryana,2010,720,1044,11398,23549,36711
120,Himachal Pradesh,2001,124,122,145,1573,1964
121,Himachal Pradesh,2002,137,132,152,1350,1771
122,Himachal Pradesh,2003,126,130,218,1392,1866
123,Himachal Pradesh,2004,153,110,213,1541,2017
124,Himachal Pradesh,2005,141,118,172,1551,1982
125,Himachal Pradesh,2006,113,129,216,1752,2210
126,Himachal Pradesh,2007,159,132,265,2114,2670
127,Himachal Pradesh,2008,157,130,329,2214,2830
128,Himachal Pradesh,2009,183,133,331,1804,2451
129,Himachal Pradesh,2010,160,133,334,1709,2336
130,Jammu & Kashmir,2001,169,1412,633,3531,5745
131,Jammu & Kashmir,2002,192,1307,664,3637,5800
132,Jammu & Kashmir,2003,211,1115,576,3768,5670
133,Jammu & Kashmir,2004,218,989,573,3621,5401
134,Jammu & Kashmir,2005,201,746,504,3544,4995
135,Jammu & Kashmir,2006,250,641,559,3531,4981
136,Jammu & Kashmir,2007,288,366,514,3808,4976
137,Jammu & Kashmir,2008,219,266,672,3694,4851
138,Jammu & Kashmir,2009,237,262,881,4341,5721
139,Jammu & Kashmir,2010,245,235,968,3978,5426
140,Jharkhand,2001,567,1507,239,5764,8077
141,Jharkhand,2002,797,1488,718,7668,10671
142,Jharkhand,2003,712,1482,347,7211,9752
143,Jharkhand,2004,797,1488,718,7668,10671
144,Jharkhand,2005,753,1523,773,8814,11863
145,Jharkhand,2006,799,1492,1229,9625,13145
146,Jharkhand,2007,855,1617,1738,10245,14455
147,Jharkhand,2008,791,1697,2471,10132,15091
148,Jharkhand,2009,719,1636,2496,10989,15840
149,Jharkhand,2010,773,1752,2684,10318,15527
150,Karnataka,2001,293,1678,3863,21039,26873
151,Karnataka,2002,292,1704,4281,22219,28496
152,Karnataka,2003,321,1576,4333,22463,28693
153,Karnataka,2004,291,1567,5733,24265,31856
154,Karnataka,2005,343,1673,5977,25185,33178
155,Karnataka,2006,400,1677,6006,23164,31247
156,Karnataka,2007,436,1586,6073,22130,30225
157,Karnataka,2008,446,1800,9202,26727,38175
158,Karnataka,2009,509,1752,11020,30575,43856
159,Karnataka,2010,586,1878,10639,29717,42820
160,Kerala,2001,562,489,1795,10442,13288
161,Kerala,2002,499,454,1978,11246,14177
162,Kerala,2003,394,435,1668,9843,12340
163,Kerala,2004,480,427,1717,10598,13222
164,Kerala,2005,478,431,1946,10952,13807
165,Kerala,2006,601,426,2019,10564,13610
166,Kerala,2007,512,393,2110,12938,15953
167,Kerala,2008,568,379,2001,12318,15266
168,Kerala,2009,568,369,2028,11943,14908
169,Kerala,2010,634,405,1478,9982,12499
170,Madhya Pradesh,2001,2851,2425,4323,37554,47153
171,Madhya Pradesh,2002,2891,2395,4845,37451,47582
172,Madhya Pradesh,2003,2738,2227,5208,35947,46120
173,Madhya Pradesh,2004,2875,2380,6246,37646,49147
174,Madhya Pradesh,2005,2921,2428,6551,34691,46591
175,Madhya Pradesh,2006,2900,2330,7651,35604,48485
176,Madhya Pradesh,2007,3010,2315,8822,36934,51081
177,Madhya Pradesh,2008,2937,2351,11029,39064,55381
178,Madhya Pradesh,2009,2998,2402,10955,37513,53868
179,Madhya Pradesh,2010,3135,2441,12060,34358,51994
180,Maharashtra,2001,1302,2950,8887,60173,73312
181,Maharashtra,2002,1352,2991,9130,57544,71017
182,Maharashtra,2003,1268,2951,9271,57118,70608
183,Maharashtra,2004,1388,2777,11307,65025,80497
184,Maharashtra,2005,1545,2745,12213,70162,86665
185,Maharashtra,2006,1500,2961,12814,70004,87279
186,Maharashtra,2007,1451,2793,13910,71909,90063
187,Maharashtra,2008,1558,2976,16909,78569,100012
188,Maharashtra,2009,1483,2712,18236,77240,99671
189,Maharashtra,2010,1599,2837,18605,80663,103704
190,Manipur,2001,20,233,71,455,779
191,Manipur,2002,14,222,119,429,784
192,Manipur,2003,18,185,124,423,750
193,Manipur,2004,31,193,109,392,725
194,Manipur,2005,25,295,92,389,801
195,Manipur,2006,40,238,119,538,935
196,Manipur,2007,20,295,157,893,1365
197,Manipur,2008,38,268,297,910,1513
198,Manipur,2009,31,174,320,698,1223
199,Manipur,2010,34,101,286,665,1086
200,Meghalaya,2001,26,169,57,713,965
201,Meghalaya,2002,38,184,58,758,1038
202,Meghalaya,2003,40,175,108,728,1051
203,Meghalaya,2004,54,157,140,711,1062
204,Meghalaya,2005,63,138,119,747,1067
205,Meghalaya,2006,74,157,135,758,1124
206,Meghalaya,2007,82,114,93,862,1151
207,Meghalaya,2008,88,126,132,1238,1584
208,Meghalaya,2009,112,128,180,895,1315
209,Meghalaya,2010,149,137,152,952,1390
210,Mizoram,2001,52,31,20,1516,1619
211,Mizoram,2002,76,29,31,1499,1635
212,Mizoram,2003,54,46,56,2063,2219
213,Mizoram,2004,20,35,0,876,931
214,Mizoram,2005,37,35,0,1270,1342
215,Mizoram,2006,72,25,68,1203,1368
216,Mizoram,2007,83,43,70,1281,1477
217,Mizoram,2008,77,35,43,1154,1309
218,Mizoram,2009,83,31,77,1213,1404
219,Mizoram,2010,92,48,69,1371,1580
220,Nagaland,2001,17,109,119,463,708
